captured_at,source,source_url,match_date_query,match_id_fifa,match_no,event_name,home_team,away_team,kickoff,location,city,referee,home_score,away_score,status,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away,goals_home_detail,goals_away_detail,raw_text_path,data_quality_notes
2026-06-23T18:11:10+00:00,FIFA public calendar API,https://api.fifa.com/api/v3/live/football/400021443,2026-06-11,400021443,1,Mexico vs. South Africa,Mexico,South Africa,2026-06-11T19:00:00Z,Mexico City Stadium,Mexico City,Wilton SAMPAIO,2,0,full_time,,,,,,,/mnt/c/Users/jfdco/OneDrive/Area de Trabalho/WORLD CUP 2026/DADOS DO DIA/FIFA_MATCH_CENTER_MONITOR/raw/20260616T105901Z_match_400021443.txt,Synced by HERMES from FIFA public calendar API. Scores/referee are structured JSON; detailed goals/cards may remain blank unless FIFA exposes them in this endpoint or an older row already had them.
2026-06-23T18:11:10+00:00,FIFA public calendar API,https://api.fifa.com/api/v3/live/football/400021441,2026-06-12,400021441,2,Korea Republic vs. Czechia,Korea Republic,Czechia,2026-06-12T02:00:00Z,Guadalajara Stadium,Guadalajara,Amin MOHAMED,2,1,full_time,,,,,,,/mnt/c/Users/jfdco/OneDrive/Area de Trabalho/WORLD CUP 2026/DADOS DO DIA/FIFA_MATCH_CENTER_MONITOR/raw/20260616T105901Z_match_400021441.txt,Synced by HERMES from FIFA public calendar API. Scores/referee are structured JSON; detailed goals/cards may remain blank unless FIFA exposes them in this endpoint or an older row already had them.
2026-06-23T18:11:10+00:00,FIFA public calendar API,https://api.fifa.com/api/v3/live/football/400021449,2026-06-12,400021449,3,Canada vs. Bosnia and Herzegovina,Canada,Bosnia and Herzegovina,2026-06-12T19:00:00Z,Toronto Stadium,Toronto,Facundo TELLO,1,1,full_time,,,,,,,/mnt/c/Users/jfdco/OneDrive/Area de Trabalho/WORLD CUP 2026/DADOS DO DIA/FIFA_MATCH_CENTER_MONITOR/raw/20260616T105901Z_match_400021449.txt,Synced by HERMES from FIFA public calendar API. Scores/referee are structured JSON; detailed goals/cards may remain blank unless FIFA exposes them in this endpoint or an older row already had them.
2026-06-23T18:11:10+00:00,FIFA public calendar API,https://api.fifa.com/api/v3/live/football/400021458,2026-06-13,400021458,4,USA vs. Paraguay,USA,Paraguay,2026-06-13T01:00:00Z,Los Angeles Stadium,Los Angeles,Danny MAKKELIE,4,1,full_time,,,,,,,/mnt/c/Users/jfdco/OneDrive/Area de Trabalho/WORLD CUP 2026/DADOS DO DIA/FIFA_MATCH_CENTER_MONITOR/raw/20260616T105901Z_match_400021458.txt,Synced by HERMES from FIFA public calendar API. Scores/referee are structured JSON; detailed goals/cards may remain blank unless FIFA exposes them in this endpoint or an older row already had them.
2026-06-23T18:11:10+00:00,FIFA public calendar API,https://api.fifa.com/api/v3/live/football/400021453,2026-06-14,400021453,5,Haiti vs. Scotland,Haiti,Scotland,2026-06-14T01:00:00Z,Boston Stadium,Boston,Mustapha GHORBAL,0,1,full_time,,,,,,,/mnt/c/Users/jfdco/OneDrive/Area de Trabalho/WORLD CUP 2026/DADOS DO DIA/FIFA_MATCH_CENTER_MONITOR/raw/20260616T105901Z_match_400021453.txt,Synced by HERMES from FIFA public calendar API. Scores/referee are structured JSON; detailed goals/cards may remain blank unless FIFA exposes them in this endpoint or an older row already had them.
2026-06-23T18:11:10+00:00,FIFA public calendar API,https://api.fifa.com/api/v3/live/football/400021463,2026-06-14,400021463,6,Australia vs. Türkiye,Australia,Türkiye,2026-06-14T04:00:00Z,BC Place Vancouver,Vancouver,Jesus VALENZUELA,2,0,full_time,,,,,,,/mnt/c/Users/jfdco/OneDrive/Area de Trabalho/WORLD CUP 2026/DADOS DO DIA/FIFA_MATCH_CENTER_MONITOR/raw/20260616T105901Z_match_400021463.txt,Synced by HERMES from FIFA public calendar API. Scores/referee are structured JSON; detailed goals/cards may remain blank unless FIFA exposes them in this endpoint or an older row already had them.
2026-06-23T18:11:10+00:00,FIFA public calendar API,https://api.fifa.com/api/v3/live/football/400021456,2026-06-13,400021456,7,Brazil vs. Morocco,Brazil,Morocco,2026-06-13T22:00:00Z,New York/New Jersey Stadium,New Jersey,Slavko VINCIC,1,1,full_time,,,,,,,/mnt/c/Users/jfdco/OneDrive/Area de Trabalho/WORLD CUP 2026/DADOS DO DIA/FIFA_MATCH_CENTER_MONITOR/raw/20260616T105901Z_match_400021456.txt,Synced by HERMES from FIFA public calendar API. Scores/referee are structured JSON; detailed goals/cards may remain blank unless FIFA exposes them in this endpoint or an older row already had them.
2026-06-23T18:11:10+00:00,FIFA public calendar API,https://api.fifa.com/api/v3/live/football/400021447,2026-06-13,400021447,8,Qatar vs. Switzerland,Qatar,Switzerland,2026-06-13T19:00:00Z,San Francisco Bay Area Stadium,San Francisco Bay Area,Said MARTINEZ,1,1,full_time,,,,,,,/mnt/c/Users/jfdco/OneDrive/Area de Trabalho/WORLD CUP 2026/DADOS DO DIA/FIFA_MATCH_CENTER_MONITOR/raw/20260616T105901Z_match_400021447.txt,Synced by HERMES from FIFA public calendar API. Scores/referee are structured JSON; detailed goals/cards may remain blank unless FIFA exposes them in this endpoint or an older row already had them.
2026-06-23T18:11:10+00:00,FIFA public calendar API,https://api.fifa.com/api/v3/live/football/400021467,2026-06-14,400021467,9,Côte d'Ivoire vs. Ecuador,Côte d'Ivoire,Ecuador,2026-06-14T23:00:00Z,Philadelphia Stadium,Philadelphia,Francois LETEXIER,1,0,full_time,,,,,,,/mnt/c/Users/jfdco/OneDrive/Area de Trabalho/WORLD CUP 2026/DADOS DO DIA/FIFA_MATCH_CENTER_MONITOR/raw/20260616T105901Z_match_400021467.txt,Synced by HERMES from FIFA public calendar API. Scores/referee are structured JSON; detailed goals/cards may remain blank unless FIFA exposes them in this endpoint or an older row already had them.
2026-06-23T18:11:10+00:00,FIFA public calendar API,https://api.fifa.com/api/v3/live/football/400021464,2026-06-14,400021464,10,Germany vs. Curaçao,Germany,Curaçao,2026-06-14T17:00:00Z,Houston Stadium,Houston,Jalal JAYED,7,1,full_time,,,,,,,/mnt/c/Users/jfdco/OneDrive/Area de Trabalho/WORLD CUP 2026/DADOS DO DIA/FIFA_MATCH_CENTER_MONITOR/raw/20260616T105901Z_match_400021464.txt,Synced by HERMES from FIFA public calendar API. Scores/referee are structured JSON; detailed goals/cards may remain blank unless FIFA exposes them in this endpoint or an older row already had them.
